引,4,イン,ひ（く）
羽,6,ウ,はね
園,13,エン,その
遠,13,エン・オン,とお（い）
雲,12,ウン,くも
何,7,カ,なに・なん
科,9,カ,
夏,10,カ・ゲ,なつ
家,10,カ・ケ,いえ・や
歌,14,カ,うた・うた（う）
画,8,ガ・ガク,えが（く）・かく
回,6,カイ・エ,まわ（る）
会,6,カイ・エ,あ（う）
海,9,カイ,うみ
絵,12,カイ,え
外,5,ガイ・ゲ,そと・ほか・はず（す）
角,7,カク,つの・かど
楽,13,ラク・ガク,たの（しい）
活,9,カツ,い（きる）
間,12,カン・ケン,あいだ・ま
丸,3,ガン,まる
岩,8,ガン,いわ
顔,18,ガン,かお
汽,7,キ,
記,10,キ,しる（す）
帰,10,キ,かえ（る）
弓,3,キュウ,ゆみ
牛,4,ギュウ,うし
魚,11,ギョ,さかな・うお
京,8,キョウ・ケイ,
強,11,キョウ・ゴウ,つよ（い）・し（いる）
教,11,キョウ,おし（える）・おそ（わる）
近,7,キン,ちか（い）
兄,5,ケイ・キョウ,あに
形,7,ケイ・ギョウ,かたち・かた
計,9,ケイ,はか（る）
元,4,ゲン・ガン,もと
言,7,ゲン・ゴン,い（う）・こと
原,10,ゲン,はら
戸,4,コ,と
古,5,コ,ふる（い）
午,4,ゴ,うま
後,9,ゴ・ゴウ,うし（ろ）・あと・のち
語,14,ゴ,かた（る）
工,3,コウ・ク,
公,4,コウ・ク,おおやけ
広,5,コウ,ひろ（い）
交,6,コウ,まじ（わる）
光,6,コウ,ひか（る）
考,6,コウ,かんが（える）
行,6,コウ・ギョウ,い（く）・ゆ（く）・おこな（う）
高,10,コウ,たか（い）
黄,11,コウ・オウ,き
合,6,ゴウ・カッ,あ（う）
谷,7,コク,たに
国,8,コク,くに
黒,11,コク,くろ
今,4,コン・キン,いま
才,3,サイ,
細,11,サイ,ほそ（い）・ほそ（る）・こま（かい）
作,7,サク・サ,つく（る）
算,14,サン,
止,4,シ,と（まる）
市,5,シ,いち
矢,5,シ,や
姉,8,シ,あね・ねえ
思,9,シ,おも（う）
紙,10,シ,かみ
寺,6,ジ,てら
自,6,ジ・シ,みずか（ら）
時,10,ジ,とき
室,9,シツ,むろ
社,7,シャ,やしろ
弱,10,ジャク,よわ（い）
首,9,シュ,くび
秋,9,シュウ,あき
週,11,シュウ,
春,9,シュン,はる
書,10,ショ,か（く）
少,4,ショウ,すく（ない）・すこ（し）
場,12,ジョウ,ば
色,6,シキ・ショク,いろ
食,9,ショク,た（べる）・く（う）
心,4,シン,こころ
新,13,シン,あたら（しい）・あら（た）
親,16,シン,おや・した（しい）
図,7,ズ・ト,はか（る）
数,13,スウ,かず・かぞ（える）
西,6,セイ・サイ,にし
声,7,セイ,こえ
星,9,セイ,ほし
晴,12,セイ,は（れる）
切,4,セツ,き（る）
雪,11,セツ,ゆき
船,11,セン,ふね・ふな
線,15,セン,すじ
前,9,ゼン,まえ
組,11,ソ,くみ・く（む）
走,7,ソウ,はし（る）
多,6,タ,おお（い）
太,4,タイ・タ,ふと（い）
体,4,タイ・テイ,からだ
台,5,ダイ・タイ,
地,6,チ・ジ,
池,6,チ,いけ
知,8,チ,し（る）
茶,9,チャ・サ,
昼,9,チュウ,ひる
長,8,チョウ,なが（い）
鳥,11,チョウ,とり
朝,12,チョウ,あさ
直,8,チョク・ジキ,なお（す）・じき
通,10,ツウ,とお（る）・かよ（う）・とおり
弟,7,ダイ,おとうと
店,8,テン,みせ
点,9,テン,つ（ける）・つ（く）
電,13,デン,
刀,2,トウ,かたな
冬,5,トウ,ふゆ
当,6,トウ,あ（たる）
東,8,トウ,ひがし
答,12,トウ,こた（える）
頭,16,トウ・ズ,あたま・かしら
同,6,ドウ,おな（じ）
道,12,ドウ,みち
読,14,ドク・トウ・トク,よ（む）
内,4,ダイ・ナイ,うち
南,9,ナン,みなみ
肉,6,ニク,
馬,10,バ,うま・ま
売,7,バイ,う（る）・う（れる）
買,12,バイ,か（う）
麦,7,バク,むぎ
半,5,ハン,なか（ば）
番,12,バン,
父,4,フ,ちち
風,9,フウ,かぜ・かざ
分,4,ブン・ブ・フン,わ（ける）
聞,14,ブン・モン,き（く）
米,6,ベイ,こめ
歩,8,ホ・フ・ブ,ある（く）・あゆ（む）
母,5,ボ,はは
方,4,ホウ,かた
北,5,ホク,きた
毎,6,マイ,ごと
妹,8,マイ,いもうと
万,3,バン・マン,よろず
明,8,メイ・ミョウ,あか（るい）・あか（り）・あき（らか）・あ（かす）・あ（く）
鳴,14,メイ,な（く）
毛,4,モウ,け
門,8,モン,かど・と
夜,8,ヤ,よる・よ
野,11,ヤ,の
友,4,ユウ,とも
用,5,ヨウ,もち（いる）
曜,18,ヨウ,
来,7,ライ,く（る）・き（たす）・きた（る）
里,7,リ,さと
理,11,リ,ことわり
話,13,ワ,はな（す）・はなし
